,words,sentiment
0,able,0.999085426330566
1,ageless,0.452329368538509
2,assent,0.885806211026737
3,abundance,0.999999523162842
4,agree,0.999968767166138
5,assert,0.549020027061021
6,accelerate,0.286092162732308
7,agreeable,0.999999761581421
8,assist,0.191929778599014
9,accept,0.999990463256836
10,aid,0.504953145980835
11,associate,0.193029790007697
12,acclaim,0.999998569488525
13,aim,0.436533142721876
14,assure,0.436100244522095
15,accomplish,0.999999284744263
16,alacrity,0.951061152720719
17,astir,0.380543201162717
18,accrue,0.300775063063428
19,alert,0.297367299410569
20,astonish,0.44502332088265
21,ace,0.99999737739563
22,alight,0.980352207873263
23,attain,0.486391481444522
24,accord,0.25594680987064
25,alive,0.998055696487427
26,attempt,0.497687759742559
27,achieve,0.616982439510953
28,allright,0.999998807907104
29,attentive,0.818088971497024
30,action,0.873987555503845
31,always,0.995942711830139
32,attest,0.266120207941009
33,accolade,0.999999523162842
34,amaze,0.999999761581421
35,attraction,0.379276736026504
36,accredit,0.592262957048344
37,amazing,0.999995946884155
38,attribute,0.043505954262433
39,activate,0.018586989393194
40,amiable,0.999999523162842
41,attune,0.200212590248394
42,active,0.501252293586731
43,ambition,0.688940232129867
44,augment,0.679985204228473
45,add,0.999980926513672
46,amity,0.999998807907104
47,auspicious,0.652246693508828
48,addition,0.642486228306659
49,amuse,0.999999284744263
50,authentic,0.709903120165556
51,adept,0.445387933936551
52,anew,0.788563985849763
53,available,0.706577134916512
54,admirable,0.999999523162842
55,appealing,0.999979496002197
56,avid,0.916078118984413
57,adorable,0.999999761581421
58,applaud,0.999999761581421
59,awake,0.71639609336853
60,advance,0.999951124191284
61,appreciate,0.999999761581421
62,award,0.952093380631684
63,advantage,0.999971151351929
64,aspire,0.999999761581421
65,aware,0.987784385681152
66,adventure,0.665366581580075
67,approve,0.999998807907104
68,awash,0.757083991567595
69,affable,0.999999046325684
70,arouse,0.256229139306781
71,awesome,0.679901099224299
72,affirm,0.999999284744263
73,ascend,0.937630792977905
74,aye,0.177838540453637
75,beatific,0.551844925817526
76,blessed,0.998963236808777
77,beatify,0.7689662058345
78,blessing,0.999999523162842
79,beatitude,0.979922798146595
80,bliss,0.413499979379346
81,beauteous,0.999999046325684
82,bloom,0.999999284744263
83,beautiful,0.453626116431853
84,blossom,0.999999761581421
85,beautify,0.21975576877594
86,bonafide,0.483940243721008
87,benefaction,0.874831636126053
88,bonanza,0.55596011342219
89,beneficial,0.651807973999873
90,bonus,0.999999761581421
91,befriend,0.038222538048471
92,boost,0.481024595670619
93,benefit,0.793026685714722
94,bountiful,0.999999761581421
95,benevolent,0.291682617745305
96,bounty,0.143797892396172
97,beauty,0.999998807907104
98,bright,0.218561894389224
99,beloved,0.99999737739563
100,brighten,0.999998092651367
101,best,0.98797070980072
102,brill,0.999998092651367
103,bestow,0.660002782372217
104,brilliant,0.983082413673401
105,better,0.973376870155334
106,bubbly,0.780875491335682
107,betterment,0.605050606299181
108,budding,0.691320198485953
109,big,0.985078930854797
110,buddy,0.156929429074154
111,bijou,0.220877689165554
112,build,0.99999213218689
113,bless,0.299760915655806
114,calm,0.999964714050293
115,compliment,0.999996423721314
116,can,0.957111835479736
117,confidence,0.999995231628418
118,capable,0.999999523162842
119,confirm,0.583894249946378
120,care,0.997864842414856
121,congenial,0.188153028488159
122,celebrate,0.816381625444755
123,congratulate,0.999999523162842
124,certain,0.762185909594008
125,conscious,0.362984538078308
126,charitable,0.999999046325684
127,consciousness,0.738777257402854
128,charity,0.39353387389891
129,consider,0.365977883338928
130,charm,0.99999737739563
131,considerate,0.505618379103506
132,charmer,0.788181013906294
133,constant,0.716627799241958
134,charming,0.048553197014942
135,constructive,0.999999761581421
136,cheerful,0.999999761581421
137,content,0.136701164202569
138,cheers,0.999994039535522
139,contribute,0.485044042673367
140,chirp,0.416964715478839
141,cool,0.999999284744263
142,chirpy,0.012343186739411
143,cooperate,0.92404083528996
144,choice,0.9847252368927
145,cope,0.999998569488525
146,chortle,0.790674729212155
147,cordial,0.886807020406249
148,chuckle,0.451704287749714
149,correct,0.312125383396128
150,cinch,0.785558764012956
151,cosy,0.902737584592777
152,civility,0.511825146995723
153,could,0.887240171432495
154,classy,0.127124190330505
155,courage,0.346352046116729
156,clean,0.999996185302734
157,courteous,0.007954753658654
158,clear,0.685626872423518
159,creative,1
160,comely,0.999999046325684
161,credit,0.11117489065059
162,comfort,0.32818770365544
163,cuddly,0.72771562203174
164,comfortable,0.865309348964337
165,cushy,0.999999761581421
166,comic,0.830450534820556
167,cute,0.895497670232629
168,comical,0.999999523162842
169,decency,0.300321817398071
170,decent,0.375786858844146
171,delectable,0.999999761581421
172,delicate,0.999998092651367
173,delicious,0.274199526318719
174,delight,0.999998092651367
175,desirable,0.999999046325684
176,do,0.099149703979492
177,dreamy,0.097872057805904
178,dynamic,0.999998092651367
179,easily,0.982044556466902
180,engross,0.511927164118924
181,erudite,0.999999761581421
182,easy,0.430024148620053
183,enhance,0.999999761581421
184,especial,0.695889481681288
185,economic,0.959548324636034
186,enjoy,0.999933958053589
187,essence,0.999943733215332
188,ecstasy,0.931697108904455
189,enlighten,0.999999761581421
190,essential,0.999999761581421
191,edify,0.130862364947194
192,enlist,0.227939290775439
193,establish,0.940470354370804
194,educate,0.286386251449585
195,enliven,0.999999523162842
196,esteem,0.08547650936187
197,effective,0.630538015118442
198,enormous,0.999999284744263
199,ethic,0.084046086555818
200,efficiency,0.202907442693039
201,enough,0.292507410049438
202,ethical,0.999998807907104
203,efficient,0.258126735687256
204,enrapture,0.999999523162842
205,euphony,0.183701106794507
206,elate,0.182092239594552
207,enrich,0.999999761581421
208,euphoria,0.476355671882629
209,elegant,0.269262504577352
210,ensure,0.330687578659642
211,eureka,0.333684843739432
212,elevate,0.750781865359644
213,enterprise,0.999999761581421
214,evolution,0.305370688438415
215,eligible,0.980488969118892
216,enterprising,1
217,exalt,0.999999761581421
218,emphasis,0.394772630027303
219,entertain,0.192011987365136
220,exceed,0.999999523162842
221,emphasize,0.471561384496705
222,entertainment,0.841254541333975
223,exceedingly,0.999999523162842
224,emphatic,0.732557957596192
225,enthral,0.999999761581421
226,excel,0.999999046325684
227,enable,0.268951713095789
228,enthuse,0.999999761581421
229,excellence,0.999998807907104
230,enchant,0.563482999801636
231,enthusiasm,0.999997854232788
232,excellent,0.999983072280884
233,encourage,0.152780684129189
234,enthusiastic,0.999999761581421
235,excite,0.999999046325684
236,endear,0.457580089569092
237,entire,0.999703168869019
238,exotic,0.999999284744263
239,endearment,0.688991053144267
240,entrust,0.999998569488525
241,expert,0.618556930027231
242,endeavour,0.500788026367935
243,equal,0.999998807907104
244,expertise,0.047451842980555
245,endorse,0.033806673807498
246,equality,0.999998092651367
247,exquisite,0.999999046325684
248,endow,0.660713969865066
249,equally,0.999980688095093
250,extensive,0.621356722691239
251,energetic,0.052881710690737
252,equilibrium,0.999998092651367
253,extraordinary,0.999999761581421
254,energize,0.512418031692505
255,equitable,0.999999284744263
256,exult,0.999999761581421
257,eager,0.394474744796753
258,engage,0.999998569488525
259,equity,0.839411532819602
260,ease,0.426927877740048
261,engaging,0.999999523162842
262,equivalent,0.99044668674469
263,fabulous,0.651881248691354
264,flexible,0.999999761581421
265,fair,0.999707460403442
266,flower,0.277172329971837
267,faith,0.999996662139893
268,focus,0.999039649963379
269,faithful,0.928796291351318
270,fond,0.311012148857117
271,fame,0.490584015846252
272,fondly,0.577977558259672
273,family,0.999890565872192
274,for,0.982940316200256
275,fancy,0.891339396690362
276,foresee,0.011073869231113
277,fantastic,0.999999046325684
278,foresight,0.271184867492244
279,fare,0.999998807907104
280,forever,1
281,fascinate,0.857096786568585
282,forgive,0.99916398525238
283,fast,0.999939441680908
284,forgiveness,0.750939476693322
285,favour,0.999999761581421
286,forward,0.999980211257935
287,favourite,0.878846506905221
288,frank,0.999507784843445
289,feasible,0.521311163902283
290,free,0.166182565944213
291,felicity,0.999999046325684
292,freedom,0.999995231628418
293,fellowship,0.362455089086218
294,fresh,0.999995470046997
295,festive,0.999998807907104
296,friend,0.975517712869327
297,fetching,0.628751595429707
298,friendly,0.999999523162842
299,fine,0.473042488098145
300,friendship,0.074560844765051
301,finesse,0.633741137982859
302,fruitful,0.938559461135754
303,first,0.982487201690674
304,fulfil,0.040783960231231
305,fit,0.562118544554131
306,fully,0.999999046325684
307,fitting,0.999934673309326
308,fun,0.95797370119571
309,flamboyant,0.948389832215737
310,funny,0.986412286758423
311,flash,0.135575795318238
312,gallant,0.999999523162842
313,goodness,0.999975442886352
314,galore,0.884041922834435
315,goodwill,0.999999523162842
316,game,0.985499382019043
317,gorgeous,0.513395628615063
318,generate,0.866866611320007
319,gosh,1
320,generous,0.336342074169313
321,grace,0.999999523162842
322,genial,0.999999046325684
323,graceful,0.965275411291175
324,genius,0.999999523162842
325,gracious,0.999995470046997
326,gentle,0.921599113648623
327,grand,0.999999046325684
328,genuine,0.999999046325684
329,grandeur,0.356223821640015
330,gift,0.837312579154968
331,grateful,0.999998807907104
332,gifted,0.504812212224669
333,gratify,0.999999523162842
334,giggle,0.999999523162842
335,gratitude,0.374563943100742
336,gist,0.515914843004439
337,great,0.999974012374878
338,give,0.99757707118988
339,greet,0.792481080330667
340,glad,0.999667406082153
341,greeting,0.642664284122834
342,glorious,1
343,grow,0.109637379646301
344,glory,0.307605572631206
345,guarantee,0.999998569488525
346,glossy,0.600696645286766
347,guest,0.954078078269958
348,glow,0.999999523162842
349,guidance,0.999998807907104
350,go,0.297855854034424
351,guide,0.891154289245606
352,going,0.969181060791016
353,good,0.982971787452698
354,handy,0.999999761581421
355,homely,0.104913663789665
356,happily,0.592962748773947
357,honest,0.99998950958252
358,happy,0.999066829681396
359,honestly,0.99834668636322
360,harmonious,0.999999284744263
361,honesty,0.99999737739563
362,harmonize,0.805163034256148
363,honeyed,0.263987641278059
364,harmony,0.362480163574219
365,honorary,0.08980382477188
366,healthy,0.999986410140991
367,honour,0.938711535268144
368,heart,0.846679571349379
369,honourable,0.439947024803052
370,heaven,0.999994516372681
371,hooray,0.500982017646927
372,heavenly,0.999999284744263
373,hope,0.993056178092956
374,hello,0.048139189049068
375,hopeful,0.999999046325684
376,help,0.999974489212036
377,hopefully,0.314728260040283
378,helpful,0.999999761581421
379,hospitable,0.999999046325684
380,helping,0.210263133049011
381,hot,0.999995470046997
382,highly,0.823235869407654
383,humane,0.394240816252527
384,hilarious,0.999800205230713
385,humanitarian,0.400516232622019
386,hilarity,0.198803887931916
387,humorous,0.999999284744263
388,hip,0.990530490875244
389,humour,0.23479741668148
390,holy,0.999028921127319
391,idea,0.999969244003296
392,ingenuity,0.478753848566835
393,ideal,0.999999284744263
394,initiate,0.115559564671181
395,ideally,0.213740622258741
396,initiative,0.999999284744263
397,immense,0.999999761581421
398,innocent,0.73272043419763
399,immerse,0.216589155076644
400,innovate,0.355317144062177
401,immune,0.751027379417695
402,input,0.467724800109863
403,impartial,0.934757641405057
404,inspiration,0.367767417651374
405,impeccable,1
406,inspire,0.999998807907104
407,impress,0.034961440116821
408,inspired,0.999997854232788
409,impressive,0.998735547065735
410,interest,0.586028657536553
411,improve,0.999999523162842
412,interested,0.999887943267822
413,improvement,0.149392775798896
414,interesting,0.999931812286377
415,increase,0.620485544204712
416,invitation,0.494521856307983
417,incredible,0.999998331069946
418,invite,0.999999284744263
419,indeed,0.031092643737793
420,inviting,0.096951027832627
421,ingenious,0.999999761581421
422,jest,0.496419339368626
423,joke,0.255647540092468
424,jolly,0.999999761581421
425,jovial,0.881991163817633
426,joy,0.999999284744263
427,joyful,1
428,joyous,0.840492183257481
429,jubilant,0.999999523162842
430,jubilation,0.999999046325684
431,juicy,0.21632824731169
432,just,0.893409729003906
433,large,0.999993324279785
434,lively,0.672003293837772
435,lark,0.150892578412909
436,lovable,0.470681667327881
437,laugh,0.99068546295166
438,love,0.999989986419678
439,lavish,0.999998331069946
440,lovely,0.869784817207518
441,learn,0.620192289352417
442,loving,0.999998092651367
443,learned,0.003739363244302
444,loyal,0.999998331069946
445,learning,0.999999523162842
446,lucid,0.435787320270831
447,leisure,0.597888224979163
448,luck,0.999998092651367
449,leisured,0.982424177963735
450,lucky,0.999999046325684
451,leisurely,0.046967273890809
452,lucrative,0.755502908258965
453,liberate,0.999999761581421
454,luminous,0.999998092651367
455,liberation,0.439812938657857
456,luscious,0.560110765408188
457,life,0.998507857322693
458,lush,0.285022805055312
459,light,0.999999046325684
460,lustre,0.368064471286648
461,lighten,0.922148360666968
462,lustrous,0.999999761581421
463,light-hearted,0.999999046325684
464,luxuriant,0.977417483957489
465,likable,0.999999523162842
466,luxuriate,0.999999046325684
467,like,0.911661982536316
468,luxurious,0.999999761581421
469,liking,1
470,luxury,0.203370321592952
471,made,0.999681234359741
472,mediate,0.340786051367937
473,magnificent,0.619639094746025
474,meditate,0.243447449802734
475,magnify,0.076918539049745
476,mellow,0.256023217850381
477,magnitude,0.242782414776735
478,mercy,0.999906778335571
479,maintain,0.452800869941711
480,merit,0.999999523162842
481,majesty,0.999998569488525
482,method,0.894783096565428
483,major,0.999967098236084
484,miracle,0.999992847442627
485,majority,0.583052761797694
486,miraculous,0.364307403564453
487,make,0.994276762008667
488,morale,0.363925417606698
489,manage,0.844032645225525
490,most,0.971117258071899
491,manifest,0.042413648697218
492,motivate,0.582413246730225
493,manner,0.477172255516052
494,much,0.906665444374084
495,many,0.589327931404114
496,multitude,0.534887559025131
497,marvellous,0.437521696090698
498,must,0.999990701675415
499,master,0.999183058738708
500,matter,0.333387136459351
501,neat,0.999999284744263
502,new,0.999795436859131
503,newly,0.841425408875596
504,nice,0.995754480361938
505,nicety,0.473063583509554
506,nifty,0.688813730303122
507,nippy,0.043634103371839
508,nirvana,0.085351745332899
509,noble,0.855993923208823
510,nod,1
511,normal,0.66220760345459
512,notable,0.981270670890808
513,note,1
514,noted,0.999998331069946
515,notice,0.866809211801288
516,noticeable,0.743907931432392
517,nourish,0.999999523162842
518,now,0.962382197380066
519,nurse,0.26971173286438
520,nurture,0.131161223846433
521,obliging,0.319890041853487
522,offer,0.887386679649353
523,o,0.999969720840454
524,k,0.119811064356192
525,on,0.321153163909912
526,onward,0.308204376261752
527,oodles,0.284683586648106
528,oomph,0.700198783242265
529,open,0.980337858200073
530,openly,0.620324399837305
531,open-minded,0.975236654281616
532,opportune,0.8311335626214
533,opportunity,0.76741655695276
534,original,0.999999046325684
535,outgoing,0.430105942534619
536,outstanding,0.98796010017395
537,pacify,0.708092599281319
538,perfection,0.999999761581421
539,practical,0.681415452588688
540,palatable,0.309424761120697
541,persevere,0.999999523162842
542,praise,0.380477254581185
543,palpable,0.022900764835528
544,perspective,0.999999523162842
545,precious,0.200997219121029
546,paradise,1
547,placid,0.525382193820165
548,prize,0.935041160337279
549,paragon,0.147838663858965
550,pleasant,1
551,pro,0.555713772773743
552,pardon,0.999997854232788
553,please,0.06338381767273
554,produce,0.096102930880376
555,parexcellence,0.38142844701636
556,pleasurable,0.999998331069946
557,productive,0.640953582834864
558,passion,0.999996662139893
559,pleasure,0.999998807907104
560,proficient,0.559782558509445
561,passionate,0.999999761581421
562,plenitude,0.159535480746678
563,progress,0.615749578007537
564,passive,0.258587718009949
565,plenteous,0.651779014456667
566,promote,0.768993763895711
567,patience,0.999999761581421
568,plenty,0.999999761581421
569,promotion,0.602978637456368
570,patient,1
571,plus,0.999864339828491
572,prosper,0.376446262282212
573,peace,0.999999046325684
574,plush,0.999999284744263
575,pukka,0.279972807978651
576,peaceable,0.999999523162842
577,poise,0.999999523162842
578,pure,0.426096993463194
579,peaceful,0.999997615814209
580,polite,0.999998569488525
581,purify,0.443735319872464
582,peak,0.690350315098774
583,positive,0.999999761581421
584,purity,0.972726513806751
585,pep,0.181360840797424
586,possible,0.999682903289795
587,perfect,0.950165883783202
588,potential,0.973098158836365
589,quality,0.999995231628418
590,quiet,0.058304128372687
591,radiant,0.999998807907104
592,reliable,0.999999761581421
593,rapture,0.630918891576947
594,relief,0.999999761581421
595,ready,0.999994039535522
596,remarkable,0.317112565040588
597,real,0.184512972831726
598,remedy,0.999996423721314
599,really,0.685853860909988
600,reputable,0.999996423721314
601,reason,0.999428868293762
602,respect,0.323514390968129
603,reassure,0.999999284744263
604,responsible,0.999994516372681
605,receive,0.078200817108154
606,rest,0.97185742855072
607,reception,0.600572978348534
608,restful,0.560597877852416
609,receptive,0.588392376899719
610,restore,0.985344648361206
611,reciprocate,0.472349549191342
612,result,0.936918020248413
613,recommend,1
614,reward,0.986038044635271
615,refreshing,0.999999284744263
616,rewarding,1
617,regard,0.544772982597351
618,rich,0.999995470046997
619,relax,0.336754441261291
620,richly,0.886769096738332
621,release,0.999995470046997
622,right,0.809953689575195
623,sacred,0.154621898608457
624,simplify,0.999999761581421
625,sufficient,1
626,sacrosanct,0.686405803154612
627,simply,0.999910354614258
628,sumptuous,0.999998807907104
629,safe,0.854102943611214
630,sincere,1
631,super,0.99999737739563
632,safety,0.473502085306347
633,smart,0.654030653713107
634,superabundant,0.341472438074958
635,salubrious,0.99921664371614
636,smashing,0.985316395759582
637,super,0.99999737739563
638,satisfaction,0.490591392810813
639,smile,0.999998331069946
640,superior,0.999998807907104
641,satisfactory,0.52484590533964
642,sociable,0.999999761581421
643,supple,0.429237127304077
644,satisfy,0.283863544464111
645,social,0.998223423957825
646,supply,0.999999761581421
647,save,0.800721678663876
648,special,0.999998092651367
649,support,0.368437844130317
650,saving,0.731309135299595
651,spectacular,0.999998807907104
652,supporter,0.594272497408938
653,saviour,0.052557933799126
654,splendid,1
655,supporting,0.29448202225251
656,self-assertive,0.711565754825283
657,splendiferous,0.008233445641874
658,supportive,0.533665612409554
659,self-confidence,0.251848390799941
660,splendour,0.083771859356154
661,supreme,0.999999046325684
662,self-discipline,0.490299768888769
663,steady,0.999999761581421
664,sure,0.999057769775391
665,self-esteem,0.238044474123929
666,straightforward,0.999999046325684
667,sweet,1
668,self-help,0.863249725257104
669,succeed,0.999965667724609
670,swell,0.999993562698364
